Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
32359984,01/08/2016 02:02:39 AM,,DOHMH,Department of Health and Mental Hygiene,Food Establishment,Food Contains Foreign Object,Restaurant/Bar/Deli/Bakery,11220,4415 4 AVENUE,4 AVENUE,44 STREET,45 STREET,,,ADDRESS,BROOKLYN,,N/A,Open,02/14/2016 02:02:39 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type may result in agency contact and/or investigation at the time of a routine inspection.  Status will be available 37 days after the date of your complaint by calling 311. Please note your Service Request number for future reference.,,07 BROOKLYN,BROOKLYN,981690,175972,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64967878211,-74.00922555368139,"(40.64967878211, -74.00922555368139)"
32362512,01/08/2016 01:58:11 AM,,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,10009,134 FIRST AVENUE,FIRST AVENUE,ST MARKS PLACE,EAST 9 STREET,,,ADDRESS,NEW YORK,,Precinct,Open,01/08/2016 09:58:11 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,03 MANHATTAN,MANHATTAN,988347,204389,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.727676333849416,-73.98521822954648,"(40.727676333849416, -73.98521822954648)"
32361753,01/08/2016 01:49:52 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,10023,124 WEST 60 STREET,WEST 60 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,,Precinct,Open,01/08/2016 09:49:52 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,07 MANHATTAN,MANHATTAN,988341,219893,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77023090945557,-73.98523044573439,"(40.77023090945557, -73.98523044573439)"
32359099,01/08/2016 01:49:13 AM,01/08/2016 02:42:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10002,39 ESSEX STREET,ESSEX STREET,HESTER STREET,GRAND STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/08/2016 09:49:13 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/08/2016 02:41:36 AM,03 MANHATTAN,MANHATTAN,987170,200184,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71613509166252,-73.98946661078074,"(40.71613509166252, -73.98946661078074)"
32364362,01/08/2016 01:44:40 AM,01/08/2016 03:03:42 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10031,3680 BROADWAY,BROADWAY,WEST 152 STREET,WEST 153 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,01/08/2016 09:44:40 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/08/2016 03:03:39 AM,09 MANHATTAN,MANHATTAN,998885,242030,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83097974232804,-73.94711567064502,"(40.83097974232804, -73.94711567064502)"
32363072,01/08/2016 01:40:18 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11232,271 44TH STREET,44TH STREET,,,,,LATLONG,BROOKLYN,,N/A,Pending,02/07/2016 01:40:18 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/08/2016 01:44:00 AM,07 BROOKLYN,BROOKLYN,981061,176649,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.65153679581908,-74.01149262111565,"(40.65153679581908, -74.01149262111565)"
32359385,01/08/2016 01:37:42 AM,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11421,86-62 85 STREET,85 STREET,JAMAICA AVENUE,87 AVENUE,,,ADDRESS,WOODHAVEN,,Precinct,Open,01/08/2016 09:37:42 AM,"Your complaint has been forwarded to the New York Police Department for a non-emergency response. If the police determine the vehicle is illegally parked, they will ticket the vehicle and then you may either contact a private towing company to remove the vehicle or ask your local precinct to contact 'rotation tow'. Any fees charged for towing will have to be paid by the vehicle owner. 311 will have additional information in 8 hours. Please note your service request number for future reference.",,09 QUEENS,QUEENS,1023352,191511,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.692243848315826,-73.85899685690968,"(40.692243848315826, -73.85899685690968)"
32363848,01/08/2016 01:37:15 AM,01/08/2016 02:15:59 AM,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,Street/Sidewalk,11220,,,,,3 AVENUE,45 STREET,INTERSECTION,BROOKLYN,,Precinct,Closed,01/08/2016 09:37:15 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,01/08/2016 02:15:59 AM,07 BROOKLYN,BROOKLYN,981010,176265,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.650482780805426,-74.01167623209685,"(40.650482780805426, -74.01167623209685)"
32364226,01/08/2016 01:37:03 AM,01/08/2016 02:00:05 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,1116 41 STREET,41 STREET,FT HAMILTON PARKWAY,12 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/08/2016 09:37:03 AM,The Police Department issued a summons in response to the complaint.,01/08/2016 02:00:05 AM,12 BROOKLYN,BROOKLYN,986654,173115,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64183697740832,-73.99133764663402,"(40.64183697740832, -73.99133764663402)"
32364223,01/08/2016 01:35:57 AM,01/08/2016 02:00:06 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11218,1114 41 STREET,41 STREET,FT HAMILTON PARKWAY,12 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/08/2016 09:35:57 AM,The Police Department issued a summons in response to the complaint.,01/08/2016 02:00:06 AM,12 BROOKLYN,BROOKLYN,986645,173122,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.64185619334428,-73.99137007392436,"(40.64185619334428, -73.99137007392436)"
32365651,01/08/2016 01:29:14 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Store/Commercial,10472,1683 EAST 172 STREET,EAST 172 STREET,FTELEY AVENUE,CROES AVENUE,,,ADDRESS,BRONX,,Precinct,Open,01/08/2016 09:29:14 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,09 BRONX,BRONX,1019667,242495,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83219714541317,-73.87201645941444,"(40.83219714541317, -73.87201645941444)"
32367052,01/08/2016 01:24:23 AM,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11421,91-22 88 ROAD,88 ROAD,DEAD END,WOODHAVEN BOULEVARD,,,ADDRESS,WOODHAVEN,,Precinct,Open,01/08/2016 09:24:23 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,09 QUEENS,QUEENS,1025229,191272,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.69157935744528,-73.85222979742484,"(40.69157935744528, -73.85222979742484)"
32365754,01/08/2016 01:23:28 AM,01/08/2016 01:23:37 AM,HRA,HRA Benefit Card Replacement,Benefit Card Replacement,Food Stamp,NYC Street Address,,,,,,,,,,,N/A,Closed,,"The Human Resources Administration received your request. If you are eligible for a benefit card replacement, you will receive it in 7 to 10 business days. No further updates will be available by calling 311 or on 311 Online.",,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
32360438,01/08/2016 01:23:19 AM,,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11249,48 SOUTH 4 STREET,SOUTH 4 STREET,KENT AVENUE,WYTHE AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Open,01/08/2016 09:23:19 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,01 BROOKLYN,BROOKLYN,993584,199043,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.712998877490364,-73.96633081126946,"(40.712998877490364, -73.96633081126946)"
32362451,01/08/2016 01:22:37 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10003,119 EAST 11 STREET,EAST 11 STREET,4 AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Assigned,01/08/2016 09:22:37 AM,Your complaint has been received by the Police Department and additional information will be available later.,01/08/2016 01:28:00 AM,03 MANHATTAN,MANHATTAN,987088,205897,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.731815918624584,-73.9897600023111,"(40.731815918624584, -73.9897600023111)"
32363675,01/08/2016 01:17:01 AM,01/08/2016 02:22:24 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10466,3972 BRONX BOULEVARD,BRONX BOULEVARD,EAST 224 STREET,EAST 226 STREET,,,ADDRESS,BRONX,,Precinct,Closed,01/08/2016 09:17:01 AM,The Police Department issued a summons in response to the complaint.,01/08/2016 01:32:27 AM,12 BRONX,BRONX,1021800,263195,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8890035333791,-73.86419265240201,"(40.8890035333791, -73.86419265240201)"
32359729,01/08/2016 01:15:14 AM,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11249,,,,,SOUTH    8 STREET,WYTHE AVENUE,INTERSECTION,BROOKLYN,,Precinct,Open,01/08/2016 09:15:14 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,01 BROOKLYN,BROOKLYN,993413,197901,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.709864537976266,-73.96694918904441,"(40.709864537976266, -73.96694918904441)"
32365977,01/08/2016 01:13:57 AM,,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,10034,101 SHERMAN AVENUE,SHERMAN AVENUE,DYCKMAN STREET,ACADEMY STREET,,,ADDRESS,NEW YORK,,Precinct,Open,01/08/2016 09:13:57 AM,Your complaint has been forwarded to the New York Police Department for a non-emergency response. 311 will have additional information in 8 hours. Please note your service request number for future reference.,,12 MANHATTAN,MANHATTAN,1004931,254011,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.863851956918054,-73.92523119238143,"(40.863851956918054, -73.92523119238143)"
32363658,01/08/2016 01:13:00 AM,01/08/2016 01:13:24 AM,HRA,HRA Benefit Card Replacement,Benefit Card Replacement,Food Stamp,NYC Street Address,,,,,,,,,,,N/A,Closed,,"The Human Resources Administration received your request. If you are eligible for a benefit card replacement, you will receive it in 7 to 10 business days. No further updates will be available by calling 311 or on 311 Online.",,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
